J',nu1',nu2',nu3',Energy
0,0,8,1,2.97240254115579
0,0,8,2,-2.88984076196217
0,0,8,3,-3.86923284642431
0,0,8,4,2.33438068092195
0,1,7,0,0.611154003550198
0,1,7,1,0.73071548153807
0,1,7,2,3.32265823311345
0,1,7,3,-0.6210932767479
0,1,7,4,0.671935403004425
0,3,5,0,1.10868652685505
0,3,5,1,-0.566212654254675
0,3,5,2,0.11055596817664
0,3,5,3,0.691073115517028
0,3,5,4,-0.40201084799536
0,0,1,0,-30.1726048974199
0,0,1,1,-77.6277944385027
0,0,1,2,9203.1675188843
0,0,1,3,104.885073378687
0,0,1,4,-66.9322952419151
0,0,1,5,11.0987862078916
0,0,1,6,5.89049936490371
0,0,1,7,-0.807696946153856
0,0,1,8,-0.103271162907109
0,0,1,9,-0.02722296700860665
0,0,1,10,0.0005373654662949494
0,0,1,11,0.0009149415281638676
0,0,1,12,5.442101250890311e-05
0,0,1,13,-1.919716213372802e-05
0,0,1,14,2.618804444787382e-06
0,0,1,15,-1.203674395556294e-06
0,0,1,16,-3.245794681650868e-06
0,2,0,0,-20.8994607497037
0,2,0,1,-99.9880073874885
0,2,0,2,-70.4854904886114
0,2,0,3,203.032174029361
0,2,0,4,-49.1283620932363
0,2,0,5,11.7901098788314
0,2,0,6,3.96321862301996
0,2,0,7,2.69667850389258
0,2,0,8,0.151189975981862
0,2,0,9,0.03036507313135565
0,2,0,10,-0.00845000038002873
0,2,0,11,-0.002001521115390027
0,2,0,12,-0.0001305982340570927
0,2,0,13,-6.889379005983432e-07
0,2,0,14,-2.675344367917249e-05
0,2,0,15,-1.57267513726498e-05
0,2,0,16,-2.398755798034393e-05
0,3,0,0,20.0352924333636
0,3,0,1,15.7620018882263
0,3,0,2,55.8904379685706
0,3,0,3,-45.3257287897576
0,3,0,4,43.9397474588237
0,3,0,5,-0.312026706138684
0,3,0,6,-2.50821313471797
0,3,0,7,-0.490560321367097
0,3,0,8,-0.00132943520606266
0,3,0,9,-0.001168543289753348
0,3,0,10,0.002090778545181111
0,3,0,11,0.0002496736255611448
0,3,0,12,2.327709044780519e-05
0,3,0,13,4.615201982160163e-06
0,3,0,14,5.028847044192746e-06
0,2,1,0,-59.1084136108786
0,2,1,1,223.480145254324
0,2,1,2,-119.198532109844
0,2,1,3,-36.9875641245239
0,2,1,4,-97.2839829918073
0,2,1,5,8.68847052717493
0,2,1,6,7.45182289730376
0,2,1,7,0.730166039368158
0,2,1,8,-0.02857210280588885
0,2,1,9,-0.008161183600858426
0,2,1,10,-0.004140897935578782
0,2,1,11,-0.0001929492722268031
0,2,1,12,-2.300679284817168e-05
0,2,1,13,-2.081516175682621e-05
0,2,1,14,-1.529955178940803e-05
0,4,0,0,11.8914781876511
0,4,0,1,-14.0046771325991
0,4,0,2,29.9295143597564
0,4,0,3,-7.06589703372984
0,4,0,4,24.4596143378324
0,4,0,5,-3.83760652202304
0,4,0,6,-1.42574527922502
0,4,0,7,-0.119829378360804
0,4,0,8,0.001407088089834497
0,4,0,9,0.001769717219484288
0,4,0,10,0.0007251916387917245
0,4,0,11,4.434041773430623e-05
0,4,0,12,2.84387894201385e-06
0,1,3,0,-34.0186403124234
0,1,3,1,120.337541315511
0,1,3,2,-73.2006673889565
0,1,3,3,-31.0095381257343
0,1,3,4,-60.9659658840295
0,1,3,5,14.4314888305152
0,1,3,6,4.27349578075196
0,1,3,7,0.227731877268116
0,1,3,8,-0.007168975705971078
0,1,3,9,-0.007533235325134384
0,1,3,10,-0.001784642288040374
0,1,3,11,-4.037625722898564e-05
0,1,3,12,1.128550098805905e-06
0,5,0,0,-7.13395789325859
0,5,0,1,17.1065300344997
0,5,0,2,-16.9556017144074
0,5,0,3,-3.04944757978078
0,5,0,4,-14.2639442737487
0,5,0,5,4.14522684979539
0,5,0,6,0.862380838573784
0,5,0,7,0.03203622392298497
0,5,0,8,0.0005714405148312518
0,5,0,9,-0.00170352020460021
0,5,0,10,-0.0003138797385962876
0,4,1,0,-16.881766623943
0,4,1,1,63.2680965713438
0,4,1,2,-36.9946715870597
0,4,1,3,-23.4835443309183
0,4,1,4,-31.6736511480009
0,4,1,5,11.4352088453405
0,4,1,6,2.12187097485063
0,4,1,7,0.04788133907475763
0,4,1,8,0.001887098622028295
0,4,1,9,-0.004729793755790987
0,4,1,10,-0.0006766837879852612
0,2,3,0,2.5899386698202
0,2,3,1,-11.2386621634686
0,2,3,2,5.58578038141661
0,2,3,3,4.98505837467117
0,2,3,4,4.89631195752313
0,2,3,5,-2.52948912734783
0,2,3,6,-0.346287710725448
0,2,3,7,0.0001248087203357492
0,2,3,8,-0.001262133794452785
0,2,3,9,0.0009002892985431628
0,2,3,10,8.360172008587998e-05
0,0,6,0,-4.42645787267255
0,0,6,1,14.6213404643107
0,0,6,2,-10.1630611533324
0,0,6,3,-5.83135849769048
0,0,6,4,-8.82372314886298
0,0,6,5,3.57488716762484
0,0,6,6,0.544672093667241
0,0,6,7,0.004705567891463838
0,0,6,8,0.001478677437499494
0,0,6,0,8.20837380207273
0,0,6,1,-32.0028001244267
0,0,6,2,18.1524048754985
0,0,6,3,13.7394614840356
0,0,6,4,15.8745105767739
0,0,6,5,-7.42378718445887
0,0,6,6,-1.04233253603301
0,0,6,7,0.001443139686072465
0,0,6,8,-0.003387063786067458
0,4,2,0,2.05628585934885
0,4,2,1,-7.71128933265274
0,4,2,2,4.57537335730425
0,4,2,3,2.71557416528419
0,4,2,4,4.01108668797093
0,4,2,5,-2.50475918304343
0,4,2,6,-0.279835421748837
0,4,2,7,0.007295832890790248
0,4,2,8,-0.001601769390984972
0,6,1,0,-2.5759541191068
0,6,1,1,9.71076364204556
0,6,1,2,-5.83382256736954
0,6,1,3,-4.4550087183756
0,6,1,4,-5.14970209179347
0,6,1,5,2.56802674183159
0,6,1,6,0.320254157326268
0,0,7,0,-4.163983180786
0,0,7,1,15.8122834043447
0,0,7,2,-9.31262847517641
0,0,7,3,-5.81568210975208
0,0,7,4,-8.09940507609236
0,0,7,5,4.5750105215392
0,0,7,6,0.531510027562221
0,1,6,0,1.53185250136149
0,1,6,1,-4.66559665562867
0,1,6,2,3.46978814922696
0,1,6,3,-0.546709339878954
0,1,6,4,2.80585259453541
0,1,6,5,-2.02625960649653
0,1,6,6,-0.202140875332175
0,7,1,0,1.75313599098074
0,7,1,1,-6.75629296210551
0,7,1,2,3.95165476535888
0,7,1,3,2.83579710028722
0,7,1,4,3.49632432072678
0,4,3,0,-0.07397809478004756
0,4,3,1,0.459000260208178
0,4,3,2,-0.122253713359516
0,4,3,3,0.140102045213277
0,4,3,4,-0.04436796591176724
0,4,3,5,0.02341537662726423
0,4,3,6,0.008024107474980327
0,0,8,0,2.75995294852089
0,0,8,1,-8.58956261011542
0,0,8,2,6.30940859837618
0,0,8,3,0.944897204679298
0,0,8,4,5.37911358251374
0,1,7,0,0.515362685392071
0,1,7,1,1.47335366394399
0,1,7,2,1.35270079249914
0,1,7,3,-4.81852545646043
0,1,7,4,0.863636513739829
0,3,5,0,-0.508908954844518
0,3,5,1,1.20840777182678
0,3,5,2,-1.17119787213696
0,3,5,3,0.314237396079876
0,3,5,4,-0.954757912109528
0,0,1,0,4.11381293781819
0,0,1,1,49.8056053615851
0,0,1,2,104.885073378687
0,0,1,3,10349.360204564
0,0,1,4,132.071541151039
0,0,1,5,-81.8226458240849
0,0,1,6,14.2396421967557
0,0,1,7,9.18443300474646
0,0,1,8,-1.22974706444122
0,0,1,9,0.203662473623795
0,0,1,10,-0.04817512066136766
0,0,1,11,-7.495537909513617e-05
0,0,1,12,-0.001943666358990651
0,0,1,13,-6.719788323913908e-05
0,0,1,14,-5.543148275564097e-05
0,0,1,15,-1.647583802214517e-06
0,0,1,16,-1.548857876989244e-05
0,2,0,0,2.67109316125375
0,2,0,1,34.5382773889124
0,2,0,2,131.410196103687
0,2,0,3,-100.168310699831
0,2,0,4,247.094695312045
0,2,0,5,-60.394109130118
0,2,0,6,19.3696580662356
0,2,0,7,6.11926995553146
0,2,0,8,4.46919576261267
0,2,0,9,-0.331203309876705
0,2,0,10,0.05334621600209057
0,2,0,11,-0.01517634819559217
0,2,0,12,0.004601436949968726
0,2,0,13,0.0001262107179136614
0,2,0,14,-3.722757311854489e-05
0,2,0,15,-0.0001131019726567767
0,2,0,16,-0.0001336923189077163
0,3,0,0,-0.03373812283745724
0,3,0,1,-33.641669069328
0,3,0,2,-20.586086933666
0,3,0,3,81.3628046725379
0,3,0,4,-54.2862724983109
0,3,0,5,54.6792976779487
0,3,0,6,-0.625049811885692
0,3,0,7,-3.8432051710324
0,3,0,8,-0.842461949550728
0,3,0,9,0.01332237049623577
0,3,0,10,-0.002297543286043063
0,3,0,11,0.00403083427695435
0,3,0,12,-0.0006214063194395403
0,3,0,13,-2.865340538601157e-05
0,3,0,14,1.81476147792034e-05
0,2,1,0,2.84754453289273
0,2,1,1,99.6489861127054
0,2,1,2,-265.423589798702
0,2,1,3,-176.73608678298
0,2,1,4,-33.0274873203481
0,2,1,5,-119.841284315705
0,2,1,6,12.285394555915
0,2,1,7,11.5109167304643
0,2,1,8,1.31197311083419
0,2,1,9,0.0353295796593912
0,2,1,10,-0.01418515587220106
0,2,1,11,-0.00841386718042316
0,2,1,12,0.0006077091862634479
0,2,1,13,7.702450360631964e-06
0,2,1,14,-8.806644298302055e-05
0,4,0,0,-1.22442575512401
0,4,0,1,-20.103029753662
0,4,0,2,13.9765582506766
0,4,0,3,44.2419776445126
0,4,0,4,-11.9985296130654
0,4,0,5,30.6331042172589
0,4,0,6,-5.41644331361026
0,4,0,7,-2.22526774367099
0,4,0,8,-0.21714596406294
0,4,0,9,8.746155764057313e-05
0,4,0,10,0.003223469195432209
0,4,0,11,0.001479164508538493
0,4,0,12,-0.0001280485593658021
0,1,3,0,4.63271005581249
0,1,3,1,57.5589633031241
0,1,3,2,-136.220098435674
0,1,3,3,-109.408560220337
0,1,3,4,-22.6982354752234
0,1,3,5,-75.9863234770614
0,1,3,6,20.3280089129929
0,1,3,7,6.70049463967193
0,1,3,8,0.435281475791908
0,1,3,9,0.008082150367105979
0,1,3,10,-0.01377112833526941
0,1,3,11,-0.003763363437845024
0,1,3,12,0.0001745730282936541
0,5,0,0,1.32285426320241
0,5,0,1,12.105222134667
0,5,0,2,-17.8277260006189
0,5,0,3,-25.3531359454439
0,5,0,4,0.178795813936937
0,5,0,5,-17.9473576698242
0,5,0,6,5.84256342353268
0,5,0,7,1.36496512714485
0,5,0,8,0.06437908286326235
0,5,0,9,-0.00167461492931724
0,5,0,10,-0.003181725182105046
0,4,1,0,3.64955863974926
0,4,1,1,28.660285084176
0,4,1,2,-69.0750739468205
0,4,1,3,-55.7652831718728
0,4,1,4,-17.2350226111598
0,4,1,5,-39.7965074054368
0,4,1,6,16.1227991218406
0,4,1,7,3.37086759551053
0,4,1,8,0.107427831157713
0,4,1,9,-0.0042565351080489
0,4,1,10,-0.008853219783649714
0,2,3,0,-0.803957330864584
