|J> |nu1> |nu2> |nu3> Energy
           0           2           1          11 -1.929492722268031E-004
           0           2           1          12 -2.300679284817168E-005
           0           2           1          13 -2.081516175682621E-005
           0           2           1          14 -1.529955178940803E-005
           0           4           0           0   11.8914781876511     
           0           4           0           1  -14.0046771325991     
           0           4           0           2   29.9295143597564     
           0           4           0           3  -7.06589703372984     
           0           4           0           4   24.4596143378324     
           0           4           0           5  -3.83760652202304     
           0           4           0           6  -1.42574527922502     
           0           4           0           7 -0.119829378360804     
           0           4           0           8  1.407088089834497E-003
           0           4           0           9  1.769717219484288E-003
           0           4           0          10  7.251916387917245E-004
           0           4           0          11  4.434041773430623E-005
           0           4           0          12  2.843878942013850E-006
           0           1           3           0  -34.0186403124234     
           0           1           3           1   120.337541315511     
           0           1           3           2  -73.2006673889565     
           0           1           3           3  -31.0095381257343     
           0           1           3           4  -60.9659658840295     
           0           1           3           5   14.4314888305152     
           0           1           3           6   4.27349578075196     
           0           1           3           7  0.227731877268116     
           0           1           3           8 -7.168975705971078E-003
           0           1           3           9 -7.533235325134384E-003
           0           1           3          10 -1.784642288040374E-003
           0           1           3          11 -4.037625722898564E-005
           0           1           3          12  1.128550098805905E-006
           0           5           0           0  -7.13395789325859     
           0           5           0           1   17.1065300344997     
           0           5           0           2  -16.9556017144074     
           0           5           0           3  -3.04944757978078     
           0           5           0           4  -14.2639442737487     
           0           5           0           5   4.14522684979539     
           0           5           0           6  0.862380838573784     
           0           5           0           7  3.203622392298497E-002
           0           5           0           8  5.714405148312518E-004
           0           5           0           9 -1.703520204600210E-003
           0           5           0          10 -3.138797385962876E-004
           0           4           1           0  -16.8817666239430     
           0           4           1           1   63.2680965713438     
           0           4           1           2  -36.9946715870597     
           0           4           1           3  -23.4835443309183     
           0           4           1           4  -31.6736511480009     
           0           4           1           5   11.4352088453405     
           0           4           1           6   2.12187097485063     
           0           4           1           7  4.788133907475763E-002
           0           4           1           8  1.887098622028295E-003
           0           4           1           9 -4.729793755790987E-003
           0           4           1          10 -6.766837879852612E-004
           0           2           3           0   2.58993866982020     
           0           2           3           1  -11.2386621634686     
           0           2           3           2   5.58578038141661     
           0           2           3           3   4.98505837467117     
           0           2           3           4   4.89631195752313     
           0           2           3           5  -2.52948912734783     
           0           2           3           6 -0.346287710725448     
           0           2           3           7  1.248087203357492E-004
           0           2           3           8 -1.262133794452785E-003
           0           2           3           9  9.002892985431628E-004
           0           2           3          10  8.360172008587998E-005
           0           0           6           0  -4.42645787267255     
           0           0           6           1   14.6213404643107     
           0           0           6           2  -10.1630611533324     
           0           0           6           3  -5.83135849769048     
           0           0           6           4  -8.82372314886298     
           0           0           6           5   3.57488716762484     
           0           0           6           6  0.544672093667241     
           0           0           6           7  4.705567891463838E-003
           0           0           6           8  1.478677437499494E-003
           0           0           6           0   8.20837380207273     
           0           0           6           1  -32.0028001244267     
           0           0           6           2   18.1524048754985     
           0           0           6           3   13.7394614840356     
           0           0           6           4   15.8745105767739     
           0           0           6           5  -7.42378718445887     
           0           0           6           6  -1.04233253603301     
           0           0           6           7  1.443139686072465E-003
           0           0           6           8 -3.387063786067458E-003
           0           4           2           0   2.05628585934885     
           0           4           2           1  -7.71128933265274     
           0           4           2           2   4.57537335730425     
           0           4           2           3   2.71557416528419     
           0           4           2           4   4.01108668797093     
           0           4           2           5  -2.50475918304343     
